"가구별일련번호","가구구분코드","노인가구여부","가구주_연령","주택소유유무","소득"
00001,1,0,31,2,1533333
00001,1,0,31,2,2443000
00001,1,0,50,1,9423340
00001,2,0,30,2,1375375
00002,1,0,32,2,4840000
00002,2,0,56,2,1333590
00002,2,1,73,1,993330
00002,2,1,74,1,993330
00003,1,0,34,1,8126990
00003,1,0,48,1,4678507
00003,1,0,49,1,5511873
00003,2,0,49,1,5866667
00004,1,0,30,2,2041727
00004,1,0,51,1,8831040
00004,1,0,51,1,8924773
00004,2,0,29,2,394676
00005,1,0,32,2,5468667
00005,1,0,43,1,3950000
00005,2,0,56,2,1984937
00005,2,0,56,2,2569625
00006,1,0,27,2,3284000
00006,1,0,27,2,3315333
00006,1,0,55,1,6705527
00006,2,0,59,1,233333
00007,1,0,42,1,4502000
00007,2,0,37,1,100000
00007,2,0,49,1,5770000
00007,2,0,49,1,5980000
00008,1,0,30,2,1530471
00008,1,0,31,2,1825730
00008,1,0,45,1,3509540
00008,2,1,80,1,1502830
00009,1,0,27,2,2503333
00009,1,0,43,1,3550000
00009,1,0,43,1,3550000
00009,2,0,36,2,2091900
00010,1,0,34,1,2693267
00010,2,0,37,1,250000
00010,2,0,37,1,300000
00010,2,0,39,2,4366586
00011,1,1,71,2,1730873
00011,1,1,71,2,1732530
00011,2,0,36,2,2050000
00011,2,1,79,1,3424527
00012,1,0,34,1,1957000
00012,1,0,34,2,2288570
00012,1,0,39,2,11169667
00012,2,0,37,2,1083335
00013,2,0,35,2,2050000
00013,2,0,43,2,5500000
00013,2,0,43,2,5500000
00013,2,0,59,1,0
00014,1,0,33,2,5234129
00014,1,0,42,1,4084290
00014,2,1,80,2,1300005
00014,2,1,80,2,1449906
00015,1,0,36,2,3550780
00015,1,0,36,2,4170940
00015,1,0,45,1,3142785
00015,2,0,59,1,0
00016,1,0,27,2,2350000
00016,1,0,33,1,3269550
00016,1,0,42,1,4530000
00016,2,1,77,1,1370000
00017,1,0,44,1,3120610
00017,2,0,39,2,3353757
00017,2,1,74,1,3004120
00017,2,1,74,1,3224120
00018,1,0,27,2,2395000
00018,2,0,38,1,5023032
00018,2,0,39,1,3063700
00018,2,1,74,1,2780120
00019,1,0,35,1,4146143
00019,1,1,70,2,1769320
00019,2,0,28,2,5433333
00019,2,0,38,1,3110000
00020,1,0,33,2,2099767
00020,1,0,33,2,5512093
00020,1,0,35,1,4661197
00020,1,0,35,2,4219220
00021,1,0,24,2,2237452
00021,1,0,35,2,3420560
00021,1,0,35,2,4219220
00021,2,0,43,2,5502467
00022,1,0,24,2,2313082
00022,1,0,29,2,3199201
00022,2,0,61,1,12385000
00022,2,1,80,2,1452448
00023,1,0,29,2,3209201
00023,1,0,35,1,3812075
00023,1,0,36,2,3393237
00023,2,0,60,1,10639333
00024,1,0,35,1,4443320
00024,1,0,39,1,7405517
00024,1,0,50,1,7752990
00024,2,0,53,2,1500715
00025,1,0,50,1,7952990
00025,2,0,61,1,1750000
00025,2,1,67,2,1059693
00025,2,1,76,1,1629133
00026,1,0,47,2,8401026
00026,1,0,54,1,6366693
00026,2,0,60,1,10356000
00026,2,1,81,1,705270
00027,1,0,39,1,7606760
00027,2,0,25,2,91288
00027,2,1,65,1,1833333
00027,2,1,73,1,1246300
00028,1,0,45,2,5372320
00028,2,0,27,2,5100000
00028,2,0,61,1,3430450
00028,2,1,67,2,1148850
00029,1,0,33,2,4260370
00029,2,0,36,1,4100000
00029,2,0,61,1,3500200
00029,2,1,80,1,679789
00030,1,0,35,2,3334810
00030,1,0,44,2,4552597
00030,1,0,48,2,996243
00030,2,1,85,2,939910
00031,1,0,27,2,3116667
00031,1,0,50,2,6345719
00031,2,0,61,1,10870667
00031,2,1,65,2,2825000
00032,1,0,34,1,3408290
00032,1,0,41,2,2953120
00032,2,0,60,1,10026000
00032,2,0,61,1,3150000
